stockpile,category,type,dup_status,dispatcher,lines,size_bytes,match_confidence,matched_engine,path
extracted,algorithms,misc,WIRE_CANDIDATE,prism_dev,103,3452,0.25,,algorithms/PRISM_DS_SEARCH.js
extracted,algorithms,physics,WIRE_CANDIDATE,prism_calc,331,12118,0.2,,algorithms/PRISM_FFT_PREDICTIVE_CHATTER.js
extracted,algorithms,misc,WIRE_CANDIDATE,prism_dev,286,9443,0.333,CADAssemblyGraphEngine,algorithms/PRISM_GRAPH.js
extracted,algorithms,misc,WIRE_CANDIDATE,prism_dev,661,21823,0,,algorithms/PRISM_GRAPHICS.js
extracted,algorithms,misc,WIRE_CANDIDATE,prism_dev,172,6329,0.2,,algorithms/PRISM_GRAPHICS_KERNEL_PASS.js
extracted,algorithms,misc,WIRE_CANDIDATE,prism_dev,277,10308,0.2,,algorithms/PRISM_GRAPHICS_MIT.js
extracted,algorithms,algorithm,PARTIAL_OVERLAP,prism_calc,316,10492,0.667,GraphAlgorithmsEngine,algorithms/PRISM_GRAPH_ALGORITHMS.js
extracted,algorithms,cam,WIRE_CANDIDATE,prism_cam,181,6145,0.333,ToolpathCalculations,algorithms/PRISM_GRAPH_TOOLPATH.js
extracted,algorithms,engine,WIRE_CANDIDATE,prism_dev,239,9180,0.333,A2AProtocolEngine,algorithms/PRISM_JACOBIAN_ENGINE.js
extracted,algorithms,database,DATABASE,prism_data,159,8046,0.5,JohnsonCookEngine,algorithms/PRISM_JOHNSON_COOK_DATABASE.js
extracted,algorithms,misc,WIRE_CANDIDATE,prism_dev,113,5762,0,,algorithms/PRISM_KDTREE.js
extracted,algorithms,system,WIRE_CANDIDATE,prism_session,120,5294,0.4,AIDeepKnowledgeIntegrationEngine,algorithms/PRISM_KNOWLEDGE_INTEGRATION_TESTS.js
extracted,algorithms,misc,WIRE_CANDIDATE,prism_dev,156,4634,0.2,,algorithms/PRISM_LINALG_MIT.js
extracted,algorithms,misc,PARTIAL_OVERLAP,prism_dev,386,13435,0.667,LocalSearchEngine,algorithms/PRISM_LOCAL_SEARCH.js
extracted,algorithms,misc,WIRE_CANDIDATE,prism_dev,132,4367,0,,algorithms/PRISM_LP_SOLVERS.js
extracted,algorithms,algorithm,WIRE_CANDIDATE,prism_calc,102,3783,0.333,ManufacturingCalculations,algorithms/PRISM_MANUFACTURING_ALGORITHMS.js
extracted,algorithms,misc,WIRE_CANDIDATE,prism_dev,142,5557,0.333,ManufacturingCalculations,algorithms/PRISM_MANUFACTURING_SEARCH.js
extracted,algorithms,engine,WIRE_CANDIDATE,prism_dev,149,5429,0.5,DistributorSearchEngine,algorithms/PRISM_MANUFACTURING_SEARCH_ENGINE.js
extracted,algorithms,misc,WIRE_CANDIDATE,prism_dev,1731,68494,0.2,,algorithms/PRISM_MATH_FOUNDATIONS.js
extracted,algorithms,misc,WIRE_CANDIDATE,prism_dev,161,5321,0.2,,algorithms/PRISM_MEMORY_EFFICIENT_SEARCH.js
extracted,algorithms,misc,WIRE_CANDIDATE,prism_dev,186,5775,0.333,NumericalIntegrationEngine,algorithms/PRISM_NUMERICAL.js
extracted,algorithms,misc,WIRE_CANDIDATE,prism_dev,168,5142,0.5,NumericalMethodsEngine,algorithms/PRISM_NUMERICAL_METHODS_MIT.js
extracted,algorithms,misc,WIRE_CANDIDATE,prism_dev,591,20982,0.2,,algorithms/PRISM_NURBS_MIT.js
extracted,algorithms,misc,WIRE_CANDIDATE,prism_dev,112,6116,0,,algorithms/PRISM_OCTREE.js
extracted,algorithms,misc,WIRE_CANDIDATE,prism_dev,6387,240814,0.167,,algorithms/PRISM_ODE_SOLVERS_MIT.js
extracted,algorithms,algorithm,WIRE_CANDIDATE,prism_calc,196,7769,0.333,OptimizationEngine,algorithms/PRISM_OPTIMIZATION_ALGORITHMS.js
extracted,algorithms,ai_ml,WIRE_CANDIDATE,prism_ai,425,14219,0.333,KnowledgeGraphNeuralBridgeEngine,algorithms/PRISM_PHASE3_GRAPH_NEURAL.js
extracted,algorithms,misc,WIRE_CANDIDATE,prism_dev,2397,108478,0.25,,algorithms/PRISM_PHASE7_KNOWLEDGE.js
extracted,algorithms,engine,PARTIAL_OVERLAP,prism_dev,114,4024,0.6,CrossProcessPolicyGradientEngine,algorithms/PRISM_POLICY_GRADIENT_ENGINE.js
extracted,algorithms,algorithm,WIRE_CANDIDATE,prism_calc,359,13604,0.25,,algorithms/PRISM_RL_ALGORITHMS.js
extracted,algorithms,misc,WIRE_CANDIDATE,prism_dev,1962,80336,0.25,,algorithms/PRISM_SEARCH_ENHANCED.js
extracted,algorithms,algorithm,WIRE_CANDIDATE,prism_calc,376,10898,0.25,,algorithms/PRISM_SIGNAL_ALGORITHMS.js
extracted,algorithms,misc,WIRE_CANDIDATE,prism_dev,123,4076,0,,algorithms/PRISM_SORTING.js
extracted,algorithms,geometry,WIRE_CANDIDATE,prism_cad,186,6761,0.5,SpectralGraphEngine,algorithms/PRISM_SPECTRAL_GRAPH_CAD.js
extracted,algorithms,geometry,WIRE_CANDIDATE,prism_cad,174,6280,0.25,,algorithms/PRISM_SURFACE_GEOMETRY_MIT.js
extracted,algorithms,misc,WIRE_CANDIDATE,prism_dev,52,2290,0.333,AdvancedCalculations,algorithms/PRISM_TAYLOR_ADVANCED.js
extracted,algorithms,database,DATABASE,prism_data,46,1723,0.25,,algorithms/PRISM_TAYLOR_LOOKUP.js
extracted,algorithms,tool,WIRE_CANDIDATE,prism_data,99,5575,0.4,BayesianToolLifeEngine,algorithms/PRISM_TAYLOR_TOOL_LIFE.js
extracted,business,ai_ml,WIRE_CANDIDATE,prism_ai,212,8263,0.2,,business/PRISM_BUSINESS_AI_SYSTEM.js
extracted,business,database,DATABASE,prism_data,1027,295136,0.25,,business/PRISM_COST_DATABASE.js
extracted,business,misc,PARTIAL_OVERLAP,prism_dev,214,6575,0.667,CostEstimationEngine,business/PRISM_COST_ESTIMATION.js
extracted,business,engine,DUP_KEEP_EXISTING,prism_dev,176,5944,0.99,SchedulingEngine,business/PRISM_SCHEDULING_ENGINE.js
extracted,business,engine,WIRE_CANDIDATE,prism_dev,184,7406,0.5,QuoteAnalyticsEngine,business/PRISM_SHOP_ANALYTICS_ENGINE.js
extracted,business,engine,WIRE_CANDIDATE,prism_dev,151,8623,0.5,AIResourceLearningEngine,business/PRISM_SHOP_LEARNING_ENGINE.js
extracted,business,algorithm,WIRE_CANDIDATE,prism_calc,229,11596,0.25,,business/PRISM_SHOP_OPTIMIZER.js
extracted,catalogs,misc,DATABASE,prism_data,912,58479,0.25,,catalogs/PRISM_CATALOG_FINAL.js
extracted,catalogs,system,DATABASE,prism_data,425,21883,0.2,,catalogs/PRISM_FINAL_CATALOG_GATEWAY.js
extracted,catalogs,misc,DATABASE,prism_data,1941,74817,0.2,,catalogs/PRISM_MAJOR_MANUFACTURERS_CATALOG.js
extracted,catalogs,misc,DATABASE,prism_data,1010,57093,0.5,ManufacturerCatalogAIEngine,catalogs/PRISM_MANUFACTURER_CATALOG_CONSOLIDATED.js
extracted,catalogs,database,DATABASE,prism_data,179,5974,0.5,ManufacturerCatalogAIEngine,catalogs/PRISM_MANUFACTURER_CATALOG_DB.js
extracted,catalogs,misc,DATABASE,prism_data,1002,36544,0.2,,catalogs/PRISM_ZENI_COMPLETE_CATALOG.js
extracted,constants,misc,STUB,,16,911,0,,constants/PRISM_CONSTANTS_ENHANCED.js
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,783,26425,0.125,,controllers/add_fix_procedures_all_families.py
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,80,18207,0,,controllers/alarms/archive/BROTHER_ALARMS.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,5224,136161,0.2,,controllers/alarms/archive/BROTHER_ALARMS_COMPLETE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,4002,104811,0.167,,controllers/alarms/archive/DMG_MORI_ALARMS_COMPLETE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,4223,110153,0.2,,controllers/alarms/archive/DOOSAN_ALARMS_COMPLETE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,5601,144599,0.2,,controllers/alarms/archive/FAGOR_ALARMS_COMPLETE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,102,41479,0.25,,controllers/alarms/archive/FANUC_ALARMS.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,19756,551752,0.2,,controllers/alarms/archive/FANUC_ALARMS_COMPLETE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,134,33443,0.2,,controllers/alarms/archive/FANUC_ALARMS_EXPANDED.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,65,23015,0.25,,controllers/alarms/archive/HAAS_ALARMS.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,14897,391603,0.2,,controllers/alarms/archive/HAAS_ALARMS_COMPLETE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,92,21714,0.2,,controllers/alarms/archive/HAAS_ALARMS_EXPANDED.json
extracted,controllers,ai_ml,WIRE_CANDIDATE,prism_ai,46,14091,0,,controllers/alarms/archive/HEIDENHAIN_ALARMS.json
extracted,controllers,ai_ml,WIRE_CANDIDATE,prism_ai,10905,281669,0.2,,controllers/alarms/archive/HEIDENHAIN_ALARMS_COMPLETE.json
extracted,controllers,ai_ml,WIRE_CANDIDATE,prism_ai,108,26042,0,,controllers/alarms/archive/HEIDENHAIN_ALARMS_EXPANDED.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,5770,151332,0.2,,controllers/alarms/archive/HURCO_ALARMS_COMPLETE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,41,11293,0,,controllers/alarms/archive/MAZAK_ALARMS.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,13144,340117,0.2,,controllers/alarms/archive/MAZAK_ALARMS_COMPLETE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,92,20884,0,,controllers/alarms/archive/MAZAK_ALARMS_EXPANDED.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,79,18997,0.25,,controllers/alarms/archive/MITSUBISHI_ALARMS.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,10593,276046,0.2,,controllers/alarms/archive/MITSUBISHI_ALARMS_COMPLETE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,41,10939,0.25,,controllers/alarms/archive/OKUMA_ALARMS.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,11168,285001,0.2,,controllers/alarms/archive/OKUMA_ALARMS_COMPLETE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,90,20373,0.2,,controllers/alarms/archive/OKUMA_ALARMS_EXPANDED.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,51,16795,0.2,,controllers/alarms/archive/SIEMENS_ALARMS.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,17337,474073,0.2,,controllers/alarms/archive/SIEMENS_ALARMS_COMPLETE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,77,17186,0.167,,controllers/alarms/archive/SIEMENS_ALARMS_EXPANDED.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,80,18207,0,,controllers/alarms/BROTHER_ALARMS.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,5224,136161,0.2,,controllers/alarms/BROTHER_ALARMS_COMPLETE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,15122,415383,0.2,,controllers/alarms/BROTHER_ALARMS_MASTER.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,4002,104811,0.167,,controllers/alarms/DMG_MORI_ALARMS_COMPLETE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,9818,269442,0.167,,controllers/alarms/DMG_MORI_ALARMS_MASTER.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,4223,110153,0.2,,controllers/alarms/DOOSAN_ALARMS_COMPLETE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,10427,287232,0.2,,controllers/alarms/DOOSAN_ALARMS_MASTER.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,5601,144599,0.2,,controllers/alarms/FAGOR_ALARMS_COMPLETE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,13401,368078,0.2,,controllers/alarms/FAGOR_ALARMS_MASTER.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,102,41479,0.25,,controllers/alarms/FANUC_ALARMS.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,19756,551752,0.2,,controllers/alarms/FANUC_ALARMS_COMPLETE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,134,33443,0.2,,controllers/alarms/FANUC_ALARMS_EXPANDED.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,57503,1617871,0.2,,controllers/alarms/FANUC_ALARMS_MASTER.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,65,23015,0.25,,controllers/alarms/HAAS_ALARMS.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,14897,391603,0.2,,controllers/alarms/HAAS_ALARMS_COMPLETE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,92,21714,0.2,,controllers/alarms/HAAS_ALARMS_EXPANDED.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,40623,1112288,0.2,,controllers/alarms/HAAS_ALARMS_MASTER.json
extracted,controllers,ai_ml,WIRE_CANDIDATE,prism_ai,46,14091,0,,controllers/alarms/HEIDENHAIN_ALARMS.json
extracted,controllers,ai_ml,WIRE_CANDIDATE,prism_ai,10905,281669,0.2,,controllers/alarms/HEIDENHAIN_ALARMS_COMPLETE.json
extracted,controllers,ai_ml,WIRE_CANDIDATE,prism_ai,108,26042,0,,controllers/alarms/HEIDENHAIN_ALARMS_EXPANDED.json
extracted,controllers,ai_ml,WIRE_CANDIDATE,prism_ai,28573,754036,0.2,,controllers/alarms/HEIDENHAIN_ALARMS_MASTER.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,5770,151332,0.2,,controllers/alarms/HURCO_ALARMS_COMPLETE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,14045,379330,0.333,HurcoV11MillMasterPostEngine,controllers/alarms/HURCO_ALARMS_MASTER.json
extracted,controllers,database,DATABASE,prism_data,43567,1389006,0.2,,controllers/alarms/MASTER_ALARM_DATABASE.json
extracted,controllers,database,DATABASE,prism_data,18907,549938,0.167,,controllers/alarms/MASTER_ALARM_DATABASE_ACCURATE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,41,11293,0,,controllers/alarms/MAZAK_ALARMS.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,13144,340117,0.2,,controllers/alarms/MAZAK_ALARMS_COMPLETE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,92,20884,0,,controllers/alarms/MAZAK_ALARMS_EXPANDED.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,37752,1031900,0.2,,controllers/alarms/MAZAK_ALARMS_MASTER.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,79,18997,0.25,,controllers/alarms/MITSUBISHI_ALARMS.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,10593,276046,0.2,,controllers/alarms/MITSUBISHI_ALARMS_COMPLETE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,29118,811527,0.2,,controllers/alarms/MITSUBISHI_ALARMS_MASTER.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,41,10939,0.25,,controllers/alarms/OKUMA_ALARMS.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,11168,285001,0.2,,controllers/alarms/OKUMA_ALARMS_COMPLETE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,90,20373,0.2,,controllers/alarms/OKUMA_ALARMS_EXPANDED.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,27959,735600,0.333,OkumaB250LatheMasterPostEngine,controllers/alarms/OKUMA_ALARMS_MASTER.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,51,16795,0.2,,controllers/alarms/SIEMENS_ALARMS.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,17337,474073,0.2,,controllers/alarms/SIEMENS_ALARMS_COMPLETE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,77,17186,0.167,,controllers/alarms/SIEMENS_ALARMS_EXPANDED.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,42444,1159025,0.2,,controllers/alarms/SIEMENS_ALARMS_MASTER.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,1107,31292,0,,controllers/alarms_accurate/BROTHER_ALARMS_FINAL.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,1497,43015,0,,controllers/alarms_accurate/DMG_MORI_ALARMS_FINAL.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,1752,50097,0,,controllers/alarms_accurate/DOOSAN_ALARMS_FINAL.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,1542,43367,0,,controllers/alarms_accurate/FAGOR_ALARMS_FINAL.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,1106,36391,0.2,,controllers/alarms_accurate/FANUC_ALARMS_ACCURATE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,1105,36330,0.2,,controllers/alarms_accurate/FANUC_ALARMS_FINAL.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,1063,33782,0.2,,controllers/alarms_accurate/HAAS_ALARMS_ACCURATE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,1062,33718,0.2,,controllers/alarms_accurate/HAAS_ALARMS_FINAL.json
extracted,controllers,ai_ml,WIRE_CANDIDATE,prism_ai,2397,68030,0,,controllers/alarms_accurate/HEIDENHAIN_ALARMS_FINAL.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,1422,40466,0.2,,controllers/alarms_accurate/HURCO_ALARMS_FINAL.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,1962,56279,0,,controllers/alarms_accurate/MAZAK_ALARMS_FINAL.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,1752,50065,0.2,,controllers/alarms_accurate/MITSUBISHI_ALARMS_FINAL.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,2682,76941,0.2,,controllers/alarms_accurate/OKUMA_ALARMS_FINAL.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,726,23081,0.167,,controllers/alarms_accurate/SIEMENS_ALARMS_ACCURATE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,725,23003,0.167,,controllers/alarms_accurate/SIEMENS_ALARMS_FINAL.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,1107,31221,0,,controllers/alarms_verified/BROTHER_ALARMS_VERIFIED.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,1497,42944,0,,controllers/alarms_verified/DMG_MORI_ALARMS_VERIFIED.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,1752,50026,0,,controllers/alarms_verified/DOOSAN_ALARMS_VERIFIED.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,1542,43296,0,,controllers/alarms_verified/FAGOR_ALARMS_VERIFIED.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,5547,169714,0.2,,controllers/alarms_verified/FANUC_ALARMS_VERIFIED.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,3306,96740,0.2,,controllers/alarms_verified/HAAS_ALARMS_VERIFIED.json
extracted,controllers,ai_ml,WIRE_CANDIDATE,prism_ai,2397,67959,0,,controllers/alarms_verified/HEIDENHAIN_ALARMS_VERIFIED.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,1422,40395,0.2,,controllers/alarms_verified/HURCO_ALARMS_VERIFIED.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,1962,56208,0,,controllers/alarms_verified/MAZAK_ALARMS_VERIFIED.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,1752,49994,0.2,,controllers/alarms_verified/MITSUBISHI_ALARMS_VERIFIED.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,2682,76870,0.2,,controllers/alarms_verified/OKUMA_ALARMS_VERIFIED.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,3252,94423,0.167,,controllers/alarms_verified/SIEMENS_ALARMS_VERIFIED.json
extracted,controllers,database,META,,400,12178,0,,controllers/ALARM_DB_ROADMAP_v1.md
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,181,5684,0.2,,controllers/ALARM_FIX_PROCEDURES.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,333,11850,0.4,LatheQualityGateEngine,controllers/alarm_quality_gate.py
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,118,3611,0.25,,controllers/ALARM_SCHEMA.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,615,34773,0.25,,controllers/alarm_swarm_generator.py
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,142,4231,0.333,AuditEngine,controllers/audit_alarms.py
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,105,3450,0.25,,controllers/autonomous_extraction.py
extracted,controllers,util,WIRE_CANDIDATE,n/a,120,22437,0.2,,controllers/build_fanuc_accurate.py
extracted,controllers,util,WIRE_CANDIDATE,n/a,137,35480,0.2,,controllers/build_fanuc_complete.py
extracted,controllers,util,WIRE_CANDIDATE,n/a,111,19967,0.2,,controllers/build_haas_accurate.py
extracted,controllers,util,WIRE_CANDIDATE,n/a,95,19777,0.2,,controllers/build_haas_complete.py
extracted,controllers,util,WIRE_CANDIDATE,n/a,71,15689,0.2,,controllers/build_mazak_complete.py
extracted,controllers,ai_ml,WIRE_CANDIDATE,prism_ai,682,42725,0.2,,controllers/build_remaining_controllers.py
extracted,controllers,util,WIRE_CANDIDATE,n/a,91,14021,0.2,,controllers/build_siemens_accurate.py
extracted,controllers,util,WIRE_CANDIDATE,n/a,65,12398,0.2,,controllers/build_siemens_complete.py
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,153,5256,0,,controllers/consolidate_accurate.py
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,170,5246,0,,controllers/consolidate_v2.py
extracted,controllers,database,DATABASE,prism_data,351,9560,0.25,,controllers/CONTROLLER_DATABASE.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,182,7450,0.25,,controllers/CONTROLLER_SCHEMA.json
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,803,30243,0,,controllers/expand_phase10_doosan_more.py
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,690,27232,0.125,,controllers/expand_phase11_siemens_sinamics_mazak.py
extracted,controllers,ai_ml,WIRE_CANDIDATE,prism_ai,659,25041,0.143,,controllers/expand_phase12_mitsubishi_heidenhain_brother.py
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,280,17319,0,,controllers/expand_phase13_final.py
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,129,8238,0.143,,controllers/expand_phase14_final_target.py
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,328,20862,0.143,,controllers/expand_phase15_fagor_hurco_brother.py
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,293,18198,0.125,,controllers/expand_phase16_dmg_doosan_siemens.py
extracted,controllers,ai_ml,WIRE_CANDIDATE,prism_ai,277,17288,0.143,,controllers/expand_phase17_fanuc_okuma_heidenhain.py
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,301,19377,0.143,,controllers/expand_phase18_mazak_haas_mitsubishi.py
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,159,9294,0,,controllers/expand_phase19_final_2500.py
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,1265,55836,0,,controllers/expand_phase3.py
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,1079,46943,0,,controllers/expand_phase4.py
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,734,30413,0,,controllers/expand_phase5.py
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,705,27995,0.2,,controllers/expand_phase6_haas.py
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,503,20138,0.167,,controllers/expand_phase7_fanuc_okuma.py
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,856,34956,0.143,,controllers/expand_phase8_siemens_mazak.py
extracted,controllers,ai_ml,WIRE_CANDIDATE,prism_ai,753,29310,0.167,,controllers/expand_phase9_heidenhain_mitsubishi.py
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,57,1881,0.2,,controllers/fix_families.py
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,91,2776,0.2,,controllers/fix_families_v2.py
extracted,controllers,misc,WIRE_CANDIDATE,prism_dev,107,3090,0.2,,controllers/FIX_PROCEDURE_SCHEMA.json
extracted,controllers,database,DATABASE,prism_data,66,15642,0.2,,controllers/GCODE_MCODE_DATABASE.json
extracted,controllers,database,DATABASE,prism_data,4768,148844,0.2,,controllers/MASTER_ALARM_DATABASE.json
extracted,controllers,database,DATABASE,prism_data,18907,549938,0.167,,controllers/MASTER_ALARM_DATABASE_ACCURATE.json
extracted,controllers,database,DATABASE,prism_data,21357,651934,0.2,,controllers/MASTER_ALARM_DATABASE_v2.json
extracted,controllers,database,DATABASE,prism_data,43567,1389006,0.2,,controllers/MASTER_ALARM_DATABASE_v3.json
