Manufacturer,Model,Type,Subtype,Max RPM,Power (kW),Torque (Nm),Taper,X Travel (mm),Y Travel (mm),Z Travel (mm),ATC Capacity,Controller
Fanuc,?-D21LiA5 with DDR,5AXIS,trunnion-ddr,24000,7.5,25,BT30,,,,21,unknown unknown
Feeler,VMP-580,vertical_machining_center,3_axis_vmc,12000,11,70,BT40,,,,24,FANUC 0i-MF Plus
Feeler,VMP-1100,vertical_machining_center,3_axis_vmc,12000,15,119,BT40,,,,30,FANUC 0i-MF Plus
Feeler,HV-800,vertical_machining_center,high_speed_vmc,20000,18.5,100,BBT40,,,,30,FANUC 31i-B5
Feeler,U-600,vertical_machining_center,5_axis_trunnion,15000,15,140,HSK-A63,,,,32,FANUC 31i-B5
Feeler,FMH-500,horizontal_machining_center,4_axis_hmc,10000,11,380,BT50,,,,60,FANUC 31i-B5
Feeler,FTC-20,lathe,2_axis_lathe,5000,7.5,287,A2-6,,,,,FANUC 0i-TF Plus
Feeler,FTC-350MY,lathe,multitasking_lathe,4000,15,520,unknown,,,,,FANUC 31i-B
Feeler,FDC-2114,double_column_machining_center,bridge_type,6000,7.5,500,BT50,,,,32,FANUC 0i-MF Plus
Feeler,FV-760,vertical_machining_center,drill_tap_center,24000,,12,BT30,,,,21,FANUC 0i-MF Plus
Feeler,FVL-1250,lathe,vtl_single_column,200,,8500,unknown,,,,,FANUC 0i-TF Plus
Feeler,FSL-20,lathe,swiss_type_lathe,,15,,unknown,,,,,FANUC 31i-B
Grob,G150,5AXIS,horizontal-spindle-trunnion,18000,28,120,HSK-A63,,,,60,unknown unknown
Grob,G350,5AXIS,horizontal-spindle-trunnion,16000,35,180,HSK-A63,,,,89,unknown unknown
Grob,G550,5AXIS,horizontal-spindle-trunnion,14000,50,280,HSK-A100,,,,119,unknown unknown
Grob,G750,5AXIS,horizontal-spindle-trunnion-large,12000,65,450,HSK-A100,,,,179,unknown unknown
Grob,G350a,5AXIS,horizontal-automation,16000,35,180,HSK-A63,,,,89,unknown unknown
Grob,G520F,5AXIS,horizontal-flexible,14000,45,250,HSK-A100,,,,119,unknown unknown
Haas,VF-2,vertical_machining_center,3_axis_vmc,8100,22.4,122,BT40,,,,20,Haas NGC
Haas,VF-4,vertical_machining_center,3_axis_vmc_large,8100,22.4,122,BT40,,,,20,Haas NGC
Haas,VF-6/50,vertical_machining_center,3_axis_vmc_50_taper,6000,22.4,500,BT50,,,,30,Haas NGC
Haas,UMC-750,vertical_machining_center,5_axis_trunnion,8100,22.4,122,BT40,,,,40,Haas NGC
Haas,UMC-1000,vertical_machining_center,5_axis_trunnion_large,8100,22.4,122,BT40,,,,40,Haas NGC
Haas,EC-400,horizontal_machining_center,4_axis_hmc,8100,22.4,122,BT40,,,,24,Haas NGC
Haas,EC-500,horizontal_machining_center,4_axis_hmc_production,8100,22.4,122,BT40,,,,,Haas NGC
Haas,ST-20,lathe,2_axis_lathe,4000,14.9,339,A2-6,,,,,Haas NGC
Haas,ST-20Y,lathe,y_axis_lathe,4000,14.9,339,unknown,,,,,Haas NGC
Haas,ST-35,lathe,large_lathe,2400,22.4,678,unknown,,,,,Haas NGC
Haas,DT-1,vertical_machining_center,drill_tap_center,15000,11.2,30,BT30,,,,20,Haas NGC
Haas,GR-510,gantry_router,3_axis_router,30000,11.2,17.6,ISO30,,,,10,Haas NGC
Haas,VF-1,vertical_machining_center,3_axis_vmc,8100,22.4,122,BT40,,,,20,Haas NGC
Haas,VF-2 TR,vertical_machining_center,5_axis_trunnion_integrated,8100,22.4,122,BT40,,,,20,Haas NGC
Haas,VF-2 with TRT100,vertical_machining_center,5_axis_vmc_with_trunnion,8100,22.4,122,BT40,,,,20,Haas NGC
Haas,VF-2SSYT,vertical_machining_center,3_axis_vmc_super_speed_y_table,12000,22.4,76,BT40,,,,24,Haas NGC
Haas,VF-2YT,vertical_machining_center,3_axis_vmc_y_table,8100,22.4,122,BT40,,,,,Haas NGC
Haas,VF-3,vertical_machining_center,3_axis_vmc,8100,22.4,122,BT40,,,,20,Haas NGC
Haas,VF-3 with TR160,vertical_machining_center,5_axis_vmc_with_trunnion,8100,22.4,122,BT40,,,,20,Haas NGC
Haas,VF-3YT,vertical_machining_center,3_axis_vmc_y_table,8100,22.4,122,BT40,,,,,Haas NGC
Haas,VF-3YT/50,vertical_machining_center,3_axis_vmc_50_taper_y_table,6000,22.4,500,BT50,,,,,Haas NGC
Haas,VF-4SS with TRT210,vertical_machining_center,5_axis_super_speed_with_trunnion,12000,22.4,76,BT40,,,,,Haas NGC
Haas,VF-5/40,vertical_machining_center,3_axis_vmc_large,8100,22.4,122,BT40,,,,,Haas NGC
Haas,VF-6/40,vertical_machining_center,3_axis_vmc_extended,8100,22.4,122,BT40,,,,,Haas NGC
Haas,VF-7/40,vertical_machining_center,3_axis_vmc_large,8100,22.4,122,BT40,,,,,Haas NGC
Haas,VF-8/40,vertical_machining_center,3_axis_vmc_large,8100,22.4,122,BT40,,,,,Haas NGC
Haas,VF-10,vertical_machining_center,3_axis_vmc_large,8100,22.4,122,BT40,,,,,Haas NGC
Haas,VF-10/50,vertical_machining_center,3_axis_vmc_50_taper_large,6000,22.4,500,BT50,,,,,Haas NGC
Haas,VF-11/40,vertical_machining_center,3_axis_vmc_large,8100,22.4,122,BT40,,,,,Haas NGC
Haas,VF-11/50,vertical_machining_center,3_axis_vmc_50_taper_large,6000,22.4,500,BT50,,,,,Haas NGC
Haas,VF-12/40,vertical_machining_center,3_axis_vmc_extra_large,8100,22.4,122,BT40,,,,,Haas NGC
Haas,VF-12/50,vertical_machining_center,3_axis_vmc_50_taper_extra_large,6000,22.4,500,BT50,,,,,Haas NGC
Haas,VF-14/40,vertical_machining_center,3_axis_vmc_extra_large,8100,22.4,,BT40,,,,,Haas NGC
Haas,VF-14/50,vertical_machining_center,3_axis_vmc_50_taper_extra_large,6000,22.4,500,BT50,,,,,Haas NGC
Haas,VM-2,vertical_machining_center,mold_maker_vmc,12000,22.4,76,BT40,,,,24,Haas NGC
Haas,VM-3,vertical_machining_center,mold_maker_vmc,12000,22.4,76,BT40,,,,24,Haas NGC
Haas,VM-6,vertical_machining_center,mold_maker_vmc_large,12000,22.4,76,BT40,,,,30,Haas NGC
Haas,UMC 350HD-EDU,vertical_machining_center,5_axis_trunnion_education,8100,,122,BT40,,,,,Haas NGC
Haas,UMC-400,vertical_machining_center,5_axis_trunnion_compact,8100,11.2,122,BT40,,,,40,Haas NGC
Haas,UMC-500SS,vertical_machining_center,5_axis_trunnion_super_speed,12000,22.4,76,BT40,,,,40,Haas NGC
Haas,UMC-750,vertical_machining_center,5_axis_trunnion,8100,22.4,122,BT40,,,,40,Haas NGC
Haas,UMC-750 (New Design),vertical_machining_center,5_axis_trunnion_new,8100,22.4,122,BT40,,,,,Haas NGC
Haas,UMC-750SS,vertical_machining_center,5_axis_trunnion_super_speed,12000,22.4,76,BT40,,,,,Haas NGC
Haas,UMC-1000,vertical_machining_center,5_axis_trunnion_large,8100,22.4,122,BT40,,,,40,Haas NGC
Haas,UMC-1000-P,vertical_machining_center,5_axis_trunnion_pallet,8100,22.4,122,BT40,,,,,Haas NGC
Haas,UMC-1000SS,vertical_machining_center,5_axis_trunnion_super_speed_large,12000,22.4,76,BT40,,,,,Haas NGC
Haas,UMC-1250,vertical_machining_center,5_axis_trunnion_extra_large,8100,22.4,122,BT40,,,,50,Haas NGC
Haas,UMC-1500-DUO,vertical_machining_center,5_axis_trunnion_dual,8100,29.8,122,BT40,,,,,Haas NGC
Haas,UMC-1500SS-DUO,vertical_machining_center,5_axis_trunnion_dual_super_speed,12000,29.8,76,BT40,,,,,Haas NGC
Haas,UMC-1600-H,horizontal_machining_center,5_axis_horizontal,8100,22.4,122,BT40,,,,60,Haas NGC
Haas,EC-400,horizontal_machining_center,4_axis_hmc,8100,22.4,122,BT40,,,,24,Haas NGC
Haas,EC-500,horizontal_machining_center,4_axis_hmc,8100,22.4,122,BT40,,,,,Haas NGC
Haas,EC-500/50,horizontal_machining_center,4_axis_hmc_50_taper,6000,22.4,500,BT50,,,,,Haas NGC
Haas,EC-630,horizontal_machining_center,4_axis_hmc_large,8100,,122,BT40,,,,,Haas NGC
Haas,EC-1600,horizontal_machining_center,4_axis_hmc_extra_large,6000,22.4,500,BT50,,,,,Haas NGC
Haas,EC-1600ZT,horizontal_machining_center,4_axis_hmc_extra_large_extended_z,6000,22.4,500,BT50,,,,,Haas NGC
Haas,DT-1,vertical_machining_center,drill_tap_center,15000,11.2,30,BT30,,,,20,Haas NGC
Haas,DT-2,vertical_machining_center,drill_tap_center_large,15000,11.2,30,BT30,,,,20,Haas NGC
Haas,DM-1,vertical_machining_center,drill_mill_center,15000,11.2,30,BT30,,,,,Haas NGC
Haas,DM-2,vertical_machining_center,drill_mill_center_large,15000,,30,BT30,711,406,394,,Haas NGC
Haas,TM-1,vertical_machining_center,toolroom_mill,4000,5.6,54,BT40,,,,1,Haas NGC
Haas,TM-1P,vertical_machining_center,toolroom_mill_with_atc,6000,5.6,54,BT40,,,,10,Haas NGC
Haas,TM-2,vertical_machining_center,toolroom_mill,4000,7.5,54,BT40,,,,,Haas NGC
Haas,TM-2P,vertical_machining_center,toolroom_mill_with_atc,6000,7.5,54,BT40,,,,10,Haas NGC
Haas,TM-3P,vertical_machining_center,toolroom_mill_with_atc_large,6000,5.6,68,BT40,,,,10,Haas NGC
Haas,GM-2,gantry_mill,3_axis_gantry,8100,,122,BT40,1524,1270,508,,Haas NGC
Haas,GM-2-5AX,gantry_mill,5_axis_gantry,8100,,122,BT40,1524,1270,508,,Haas NGC
Haas,Mini Mill,vertical_machining_center,compact_vmc,6000,11.2,34,BT40,,,,10,Haas NGC
Haas,Mini Mill 2,vertical_machining_center,compact_vmc,8100,11.2,34,BT40,,,,10,Haas NGC
Haas,Mini Mill-EDU,vertical_machining_center,compact_vmc_education,6000,11.2,34,BT40,,,,,Haas NGC
Haas,Mini Mill-EDU with HRT160,vertical_machining_center,compact_vmc_5_axis,6000,11.2,34,BT40,,,,,Haas NGC
Haas,Super Mini Mill,vertical_machining_center,super_compact_vmc,10000,11.2,17,BT30,,,,10,Haas NGC
Haas,CM-1,vertical_machining_center,compact_mill,8100,,61,BT40,381,305,305,,Haas NGC
Haas,Desktop Mill,vertical_machining_center,desktop_mill,10000,,,unknown,152,102,102,,Haas Mini-CNC
Haas,VC-400,vertical_machining_center,drill_mill_center,8100,,61,BT40,,,,,Haas NGC
Hardinge,Conquest T42,lathe,2-axis-precision,6000,12,160,unknown,,,,,unknown unknown
Hardinge,Conquest T51,lathe,2-axis-precision,5000,15,250,unknown,,,,,unknown unknown
Hardinge,Conquest T65,lathe,2-axis-precision,4500,20,380,unknown,,,,,unknown unknown
Hardinge,Elite T42 SMY,lathe,4-axis-sub-y,,11,,unknown,,,,,unknown unknown
Hardinge,Elite T65 SMY,lathe,4-axis-sub-y,,18.5,,unknown,,,,,unknown unknown
Hardinge,Super-Precision SP,lathe,2-axis-ultra-precision,8000,10,95,unknown,,,,,unknown unknown
Hardinge,GS 150,lathe,swiss-type,,5.5,,unknown,,,,,unknown unknown
Hardinge,GS 200,lathe,swiss-type,,7.5,,unknown,,,,,unknown unknown
Hermle,C 32 U,vertical_machining_center,5_axis_trunnion,18000,29,145,HSK-A63,,,,38,HEIDENHAIN TNC 640
Hermle,C 42 U,vertical_machining_center,5_axis_trunnion,18000,35,175,HSK-A63,,,,50,HEIDENHAIN TNC 640
Hermle,C 52 U,vertical_machining_center,5_axis_trunnion_large,12000,45,400,HSK-A100,,,,60,HEIDENHAIN TNC 640
Hermle,C 22 U,vertical_machining_center,5_axis_trunnion_compact,18000,29,110,HSK-A63,,,,30,HEIDENHAIN TNC 640
Hermle,C 12 U,vertical_machining_center,5_axis_micro,42000,16,9,HSK-E40,,,,20,HEIDENHAIN TNC 640
Hermle,C 32,vertical_machining_center,3_axis_vmc,18000,29,145,HSK-A63,,,,38,HEIDENHAIN TNC 640
Hermle,C 42 U MT,turn_mill,5_axis_mill_turn,12000,35,353,HSK-T100,,,,87,HEIDENHAIN TNC 640
Hermle,C 32 U HS,vertical_machining_center,5_axis_high_speed,42000,29,8,HSK-E50,,,,52,HEIDENHAIN TNC 640
Hermle,C 32 U with RS 05,vertical_machining_center,5_axis_with_robot,18000,29,145,HSK-A63,,,,88,HEIDENHAIN TNC 640
Hurco,VM10i,VMC,3-axis-compact,12000,12,65,BT40,,,,20,unknown unknown
Hurco,VM20i,VMC,3-axis,10000,15,119,BT40,,,,24,unknown unknown
Hurco,VM30i,VMC,3-axis,10000,20,143,BT40,,,,30,unknown unknown
Hurco,VMX42i,VMC,3-axis-performance,12000,20,119,BT40,,,,40,unknown unknown
Hurco,VMX50i,VMC,3-axis-performance,10000,25,178,BT50,,,,40,unknown unknown
Hurco,VMX64i,VMC,3-axis-large,8000,30,280,BT50,,,,48,unknown unknown
Hurco,VMX30Ui,5AXIS,trunnion,12000,20,119,BT40,,,,40,unknown unknown
Hurco,VMX42SRi,5AXIS,swivel-head,18000,25,100,HSK-A63,,,,40,unknown unknown
Hurco,TM8i,lathe,2-axis,4500,12,200,unknown,,,,,unknown unknown
Hurco,TM10i,lathe,2-axis,4000,15,300,unknown,,,,,unknown unknown
Hurco,TM12i,lathe,2-axis,3500,25,500,unknown,,,,,unknown unknown
Hyundai WIA,KF 4600,VMC,3-axis,12000,15,95,BBT40,,,,24,unknown unknown
Hyundai WIA,KF 5600,VMC,3-axis,12000,20,119,BBT40,,,,30,unknown unknown
Hyundai WIA,KF 6700,VMC,3-axis,10000,25,178,BBT50,,,,40,unknown unknown
Hyundai WIA,XF 6300,5AXIS,trunnion,12000,25,143,BBT40,,,,60,unknown unknown
Hyundai WIA,HS 5000,HMC,4-axis,14000,30,166,BBT40,,,,60,unknown unknown
Hyundai WIA,HS 6300,HMC,4-axis,10000,40,300,BBT50,,,,90,unknown unknown
Hyundai WIA,SKT 200,lathe,2-axis,4500,15,265,unknown,,,,,unknown unknown
Hyundai WIA,SKT 250,lathe,2-axis,4000,20,380,unknown,,,,,unknown unknown
Hyundai WIA,SKT 300,lathe,2-axis,3500,30,650,unknown,,,,,unknown unknown
Hyundai WIA,LM1800TTSY,turn_mill,twin-turret-y,,,,unknown,,,,,unknown unknown
Kern,Micro Evo,5AXIS,micro-precision,50000,5.5,4.8,HSK-E25,,,,25,unknown unknown
Kern,Micro Vario,5AXIS,micro-precision,50000,7.5,7.2,HSK-E32,,,,38,unknown unknown
Kern,Micro HD,5AXIS,micro-precision-large,42000,12,14,HSK-E40,,,,63,unknown unknown
Kern,Pyramid Nano,5AXIS,nano-precision,160000,2,0.5,HSK-E20,,,,16,unknown unknown
Kern,Pyramid Nano Twin,5AXIS,nano-precision-dual,,12,,unknown,,,,24,unknown unknown
Kitamura,Mycenter HX300iG,VMC,3-axis-compact,15000,12,55,BBT30,,,,20,unknown unknown
Kitamura,Mycenter HX400iG,VMC,3-axis,12000,18,100,BBT40,,,,30,unknown unknown
Kitamura,Mycenter HX500iG,VMC,3-axis,12000,25,140,BBT40,,,,40,unknown unknown
Kitamura,Mytrunnion-4G,5AXIS,trunnion,15000,18,85,BBT40,,,,40,unknown unknown
Kitamura,Mytrunnion-5G,5AXIS,trunnion,12000,25,140,BBT40,,,,60,unknown unknown
Kitamura,Supercell-300G,HMC,4-axis,15000,20,100,BBT40,,,,40,unknown unknown
Kitamura,Supercell-400G,HMC,4-axis,14000,30,166,BBT40,,,,60,unknown unknown
Kitamura,Bridgecenter-8XG,VMC,bridge-type,10000,35,280,BBT50,,,,60,unknown unknown
Leadwell,MCV-610AP,VMC,3-axis-compact,12000,11,70,BT40,,,,24,unknown unknown
Leadwell,MCV-1000B,VMC,3-axis,10000,15,119,BT40,,,,24,unknown unknown
Leadwell,MCV-1300D,VMC,3-axis-large,8000,20,180,BT50,,,,30,unknown unknown
Leadwell,V-30iT,5AXIS,trunnion-compact,12000,18,105,BBT40,,,,40,unknown unknown
Leadwell,LTC-20B,lathe,2-axis,4000,11,200,unknown,,,,,unknown unknown
Leadwell,LTC-35BLY,lathe,4-axis-y,3500,20,420,unknown,,,,,unknown unknown
Leadwell,T-7SMY,lathe,4-axis-sub-y,,15,,unknown,,,,,unknown unknown
Makino,D500,vertical_machining_center,5_axis_trunnion,20000,22,120,HSK-A63,,,,50,Makino Professional 6
Makino,D800Z,vertical_machining_center,5_axis_trunnion_large,12000,30,350,HSK-A100,,,,,Makino Professional 6
Makino,a61nx,horizontal_machining_center,4_axis_hmc,14000,26,303,HSK-A63,,,,60,Makino Professional 6
Makino,a81nx,horizontal_machining_center,4_axis_hmc_large,10000,37,573,HSK-A100,,,,,Makino Professional 6
Makino,PS95,vertical_machining_center,high_speed_vmc,14000,22,151,HSK-A63,,,,30,Makino Professional 6
Makino,F5,vertical_machining_center,high_precision_vmc,20000,15,96,HSK-A63,,,,,Makino Professional 6
Makino,iQ500,vertical_machining_center,graphite_high_speed,40000,22,9,HSK-E40,,,,20,Makino Professional 6
Makino,U6,edm_wire,wire_edm_precision,,15,,unknown,,,,20,Makino Hyper i
Makino,EDAF3,edm_sinker,sinker_edm_precision,,11,,unknown,,,,,Makino Hyper i
Makino,T1,horizontal_machining_center,5_axis_hmc_aerospace,10000,26,764,HSK-A100,,,,,Makino Professional 6
Matsuura,MAM72-25V,5AXIS,pallet-automation,20000,15,57,HSK-A63,,,,90,unknown unknown
Matsuura,MAM72-35V,5AXIS,pallet-automation,15000,20,95,HSK-A63,,,,120,unknown unknown
Matsuura,MAM72-52V,5AXIS,pallet-automation,12000,30,166,HSK-A100,,,,180,unknown unknown
Matsuura,MX-330,5AXIS,trunnion,12000,20,119,BBT40,,,,40,unknown unknown
Matsuura,MX-520,5AXIS,trunnion,12000,25,166,BBT40,,,,60,unknown unknown
Matsuura,V.Plus-800,VMC,3-axis,12000,20,119,BBT40,,,,30,unknown unknown
Matsuura,H.Plus-405,HMC,4-axis,15000,30,143,HSK-A63,,,,60,unknown unknown
Mazak,INTEGREX i-200S,turn_mill,5_axis_mill_turn,,22,,unknown,,,,36,MAZAK MAZATROL SmoothAi
Mazak,INTEGREX i-400S,turn_mill,5_axis_mill_turn_large,,22,,unknown,,,,,MAZAK MAZATROL SmoothAi
Mazak,VARIAXIS i-700,vertical_machining_center,5_axis_trunnion,12000,25,286,HSK-A63,,,,30,MAZAK MAZATROL SmoothX
Mazak,VARIAXIS i-500,vertical_machining_center,5_axis_trunnion,12000,25,200,HSK-A63,,,,30,MAZAK MAZATROL SmoothX
Mazak,VCN-530C,vertical_machining_center,3_axis_vmc,12000,18.5,119,BT40,,,,30,MAZAK MAZATROL SmoothG
Mazak,HCN-5000,horizontal_machining_center,4_axis_hmc,14000,22,303,HSK-A63,,,,40,MAZAK MAZATROL SmoothG
Mazak,QT-NEXUS 250-II MY,lathe,y_axis_lathe,4000,15,536,A2-8,,,,,MAZAK MAZATROL SmoothG
Mazak,QUICK TURN NEXUS 350M,lathe,mill_turn_lathe,3000,18.5,955,unknown,,,,,MAZAK MAZATROL SmoothG
Mazak,VCE-500,vertical_machining_center,compact_vmc,10000,18.5,65,BT40,,,,20,MAZAK MAZATROL SmoothEz
Mazak,CV5-500,vertical_machining_center,5_axis_simultaneous,12000,18.5,120,HSK-A63,,,,30,MAZAK MAZATROL SmoothX
Mazak,FJV-250,double_column_machining_center,bridge_type,6000,22,420,BT50,,,,30,MAZAK MAZATROL SmoothG
MHI,MVR-Ex35,DOUBLE_COLUMN,,8000,37,,HSK-A100,,,,60,unknown unknown
Mikron,MILL S 400 U,5AXIS,trunnion-high-speed,20000,18,77,HSK-E50,,,,30,unknown unknown
Mikron,MILL S 500 U,5AXIS,trunnion-high-speed,20000,22,95,HSK-A63,,,,42,unknown unknown
Mikron,MILL P 500 U,5AXIS,trunnion-production,20000,28,119,HSK-A63,,,,60,unknown unknown
Mikron,MILL P 800 U,5AXIS,trunnion-large,15000,40,200,HSK-A100,,,,90,unknown unknown
Mikron,HEM 500U,5AXIS,trunnion-efficiency,20000,28,119,HSK-A63,,,,48,unknown unknown
Mikron,HSM 500,VMC,3-axis-high-speed,42000,20,21,HSK-E50,,,,30,unknown unknown
Mikron,HSM 600U,5AXIS,trunnion-graphite,42000,20,21,HSK-E50,,,,36,unknown unknown
OKK,VM43R,VMC,3-axis-compact,15000,18,95,BBT40,,,,24,unknown unknown
OKK,VM53R,VMC,3-axis,12000,22,130,BBT40,,,,30,unknown unknown
OKK,VM76R,VMC,3-axis-large,8000,30,280,BBT50,,,,40,unknown unknown
OKK,HM500S,HMC,4-axis,12000,25,160,BBT50,,,,60,unknown unknown
OKK,HM800S,HMC,4-axis-large,8000,40,420,BBT50,,,,90,unknown unknown
OKK,VP400,5AXIS,trunnion,20000,20,70,HSK-A63,,,,40,unknown unknown
OKK,VP600,5AXIS,trunnion,15000,30,150,HSK-A63,,,,60,unknown unknown
Okuma,MU-5000V,vertical_machining_center,5_axis_trunnion,15000,26,151,HSK-A63,,,,32,Okuma OSP-P300A
Okuma,MU-6300V,vertical_machining_center,5_axis_trunnion_large,15000,30,200,HSK-A63,,,,,Okuma OSP-P300A
Okuma,GENOS M560-V,vertical_machining_center,3_axis_vmc,15000,22,151,BT40,,,,32,Okuma OSP-P300A
Okuma,MB-5000H,horizontal_machining_center,4_axis_hmc,15000,22,200,HSK-A63,,,,48,Okuma OSP-P300A
Okuma,MULTUS B300II,turn_mill,5_axis_mill_turn,,22,,unknown,,,,40,Okuma OSP-P300A
Okuma,MULTUS U4000,turn_mill,5_axis_mill_turn_universal,,22,,unknown,,,,,Okuma OSP-P300A
Okuma,LB3000 EX II MY,lathe,y_axis_lathe,5000,15,447,unknown,,,,,Okuma OSP-P300A
Okuma,LB4000 EX II,lathe,large_lathe,3500,15,1068,unknown,,,,,Okuma OSP-P300A
Okuma,GENOS L300-MY,lathe,compact_y_axis_lathe,5000,22,286,unknown,,,,,Okuma OSP-P300A
Okuma,2SP-V760EX,lathe,twin_spindle_vtl,1000,22,955,unknown,,,,,Okuma OSP-P300A
Okuma,MCR-A5CII,double_column_machining_center,5_axis_bridge,10000,45,400,HSK-A100,,,,40,Okuma OSP-P500
Roku-Roku,GENOS M460-VE,vertical_machining_center,ultra_high_speed_graphite,42000,22,6.4,HSK-E40,,,,16,FANUC 31i-B5
Roku-Roku,GENOS M560-VE,vertical_machining_center,ultra_high_speed_graphite,36000,22,15,HSK-E50,,,,20,FANUC 31i-B5
Roku-Roku,MV-550,vertical_machining_center,high_speed_die_mold,24000,11,50,BBT40,,,,24,FANUC 31i-B5
Roku-Roku,MV-850,vertical_machining_center,high_speed_die_mold,20000,15,120,HSK-A63,,,,30,FANUC 31i-B5
Roku-Roku,MU-500VA,vertical_machining_center,5_axis_trunnion,20000,15,100,HSK-A63,,,,32,FANUC 31i-B5
Roku-Roku,DC-1612,double_column_machining_center,bridge_type,15000,7.5,200,HSK-A63,,,,40,FANUC 31i-B5
Roku-Roku,G-300,vertical_machining_center,compact_graphite,50000,7.5,3.5,HSK-E32,,,,12,FANUC 31i-B5
