vendor,id,holder_type,taper,gauge_length_mm,body_diameter_mm,max_rpm,runout_um
tungaloy,HSKE32ER20X60,ER,HSK-E32,40,34,,
tungaloy,HSKE32ER25X65,ER,HSK-E32,45,42,,
tungaloy,HSKE40ER16X60,ER,HSK-E40,40,28,,
tungaloy,HSKE40ER16X80,ER,HSK-E40,60,28,,
tungaloy,HSKE40ER20X80,ER,HSK-E40,60,34,,
tungaloy,HSKE40ER25X80,ER,HSK-E40,60,42,,
tungaloy,HSKE40ER32X80,ER,HSK-E40,60,50,,
tungaloy,HSKE50ER16X100,ER,HSK-E50,74,28,,
tungaloy,HSKE50ER16X100M,ER,HSK-E50,74,22,,
tungaloy,HSKE50ER16X80,ER,HSK-E50,54,28,,
tungaloy,HSKE50ER20X80,ER,HSK-E50,54,34,,
tungaloy,HSKE50ER25X80,ER,HSK-E50,54,42,,
tungaloy,HSKE50ER32X80,ER,HSK-E50,54,50,,
tungaloy,HSKE50ER32X100,ER,HSK-E50,74,50,,
tungaloy,HSKE63ER16X80,ER,HSK-E63,54,28,,
tungaloy,HSKE63ER16X100,ER,HSK-E63,74,28,,
tungaloy,HSKE63ER20X75,ER,HSK-E63,49,34,,
tungaloy,HSKE63ER32X100,ER,HSK-E63,75,50,,
tungaloy,HSKA63ER16X100M,ER,HSK-A63,74,22,,
tungaloy,HSKA63ER16X120M,ER,HSK-A63,94,22,,
tungaloy,HSKA63ER16X160M,ER,HSK-A63,134,22,,
tungaloy,HSKA63ER20X100M,ER,HSK-A63,74,28,,
tungaloy,HSKA63ER20X120M,ER,HSK-A63,94,28,,
tungaloy,HSKA63ER20X160M,ER,HSK-A63,134,28,,
tungaloy,HSKA100ER16X100M,ER,HSK-A100,71,22,,
tungaloy,HSKA100ER16X160M,ER,HSK-A100,131,22,,
tungaloy,HSKA100ER20X100M,ER,HSK-A100,71,28,,
tungaloy,HSKA40ER16X60,ER,HSK-A40,40,28,,
tungaloy,HSKA40ER16X80,ER,HSK-A40,60,28,,
tungaloy,HSKA50ER20X100,ER,HSK-A50,74,34,,
tungaloy,HSKA63ER16X100,ER,HSK-A63,74,28,,
tungaloy,HSKA63ER16X120,ER,HSK-A63,94,28,,
tungaloy,HSKA63ER16X160,ER,HSK-A63,134,28,,
tungaloy,HSKA63ER20X100,ER,HSK-A63,74,34,,
tungaloy,HSKA63ER20X120,ER,HSK-A63,94,34,,
tungaloy,HSKA63ER20X160,ER,HSK-A63,134,34,,
tungaloy,HSKA100ER16X100,ER,HSK-A100,71,28,,
tungaloy,HSKA100ER16X160,ER,HSK-A100,131,28,,
tungaloy,HSKA100ER20X100,ER,HSK-A100,71,34,,
tungaloy,HSKA100ER20X160,ER,HSK-A100,131,34,,
tungaloy,HSKA40ER25X80,ER,HSK-A40,60,42,,
tungaloy,HSKA40ER25X100,ER,HSK-A40,80,42,,
tungaloy,HSKA40ER32X100,ER,HSK-A40,80,50,,
tungaloy,HSKA63ER25X80,ER,HSK-A63,54,42,,
tungaloy,HSKA63ER25X100,ER,HSK-A63,74,42,,
tungaloy,HSKA63ER25X120,ER,HSK-A63,94,42,,
tungaloy,HSKA63ER25X160,ER,HSK-A63,134,42,,
tungaloy,HSKA63ER32X80,ER,HSK-A63,54,50,,
tungaloy,HSKA63ER32X100,ER,HSK-A63,74,50,,
tungaloy,HSKA63ER32X120,ER,HSK-A63,94,50,,
tungaloy,HSKA63ER32X140,ER,HSK-A63,114,50,,
tungaloy,HSKA63ER32X160,ER,HSK-A63,134,50,,
tungaloy,HSKA63ER40X80,ER,HSK-A63,54,63,,
tungaloy,HSKA63ER40X100,ER,HSK-A63,74,63,,
tungaloy,HSKA63ER40X120,ER,HSK-A63,94,63,,
tungaloy,HSKA100ER25X100,ER,HSK-A100,71,42,,
tungaloy,HSKA100ER25X120,ER,HSK-A100,91,42,,
tungaloy,HSKA100ER25X160,ER,HSK-A100,134,42,,
tungaloy,HSKA100ER32X100,ER,HSK-A100,71,50,,
tungaloy,HSKA100ER32X120,ER,HSK-A100,91,50,,
tungaloy,HSKA100ER32X160,ER,HSK-A100,131,50,,
tungaloy,HSKA100ER40X100,ER,HSK-A100,71,63,,
tungaloy,HSKA100ER40X120,ER,HSK-A100,91,63,,
tungaloy,HSKA100ER40X160,ER,HSK-A100,131,63,,
tungaloy,HSKFM63ER16X100,ER,HSK-FM63,74,28,,
tungaloy,HSKFM63ER16X160,ER,HSK-FM63,134,28,,
tungaloy,HSKFM63ER32X100,ER,HSK-FM63,74,50,,
tungaloy,HSKFM63ER40X80,ER,HSK-FM63,63,50,,
tungaloy,HSKA63ER32SHORT,ER,HSK-A63,56.1,50,,
tungaloy,HSKA100ER32SHORT,ER,HSK-A100,60.5,50,,
tungaloy,HSKA100ER40SHORT,ER,HSK-A100,75.5,70,,
tungaloy,HSKA63MAXIN20X95,milling_chuck,HSK-A63,56,53,,
tungaloy,HSKA63MAXIN32X113,milling_chuck,HSK-A63,70,70,,
tungaloy,HSKA100MAXIN20X115,milling_chuck,HSK-A100,56,53,,
tungaloy,HSKA63ER32X120BIN,ER,HSK-A63,94,50,,
tungaloy,HSKA50HYDRO6X80,hydraulic,HSK-A50,54,23,,
tungaloy,HSKA50HYDRO8X80,hydraulic,HSK-A50,54,25,,
tungaloy,HSKA50HYDRO16X95,hydraulic,HSK-A50,69,34,,
tungaloy,HSKA50HYDRO20X100,hydraulic,HSK-A50,74,38,,
tungaloy,HSKA63HYDRO6X80,hydraulic,HSK-A63,54,23,,
tungaloy,HSKA63HYDRO8X80,hydraulic,HSK-A63,54,25,,
tungaloy,HSKA63HYDRO10X85,hydraulic,HSK-A63,59,27,,
tungaloy,HSKA63HYDRO12X90,hydraulic,HSK-A63,64,29,,
tungaloy,HSKA63HYDRO14X90,hydraulic,HSK-A63,64,30,,
tungaloy,HSKA63HYDRO16X95,hydraulic,HSK-A63,69,34,,
tungaloy,HSKA63HYDRO18X95,hydraulic,HSK-A63,69,36,,
tungaloy,HSKA63HYDRO20X100,hydraulic,HSK-A63,74,38,,
tungaloy,HSKA63HYDRO25X120,hydraulic,HSK-A63,94,46,,
tungaloy,HSKA63HYDRO32X125,hydraulic,HSK-A63,99,56,,
tungaloy,HSKA80HYDRO6X85,hydraulic,HSK-A80,59,23,,
tungaloy,HSKA80HYDRO14X95,hydraulic,HSK-A80,69,30,,
tungaloy,HSKA80HYDRO16X100,hydraulic,HSK-A80,74,34,,
tungaloy,HSKA80HYDRO18X100,hydraulic,HSK-A80,74,36,,
tungaloy,HSKA80HYDRO20X105,hydraulic,HSK-A80,79,38,,
tungaloy,HSKA80HYDRO25X115,hydraulic,HSK-A80,89,46,,
tungaloy,HSKA100HYDRO6X85,hydraulic,HSK-A100,56,23,,
tungaloy,HSKA100HYDRO8X85,hydraulic,HSK-A100,56,25,,
tungaloy,HSKA100HYDRO10X90,hydraulic,HSK-A100,61,27,,
tungaloy,HSKA100HYDRO12X95,hydraulic,HSK-A100,66,29,,
tungaloy,HSKA100HYDRO14X95,hydraulic,HSK-A100,66,30,,
tungaloy,HSKA100HYDRO16X100,hydraulic,HSK-A100,71,34,,
tungaloy,HSKA100HYDRO18X100,hydraulic,HSK-A100,71,36,,
tungaloy,HSKA100HYDRO20X105,hydraulic,HSK-A100,76,38,,
tungaloy,HSKA100HYDRO25X115,hydraulic,HSK-A100,86,46,,
tungaloy,HSKA63HYDRO6X150,hydraulic,HSK-A63,124,26,,
tungaloy,HSKA63HYDRO6X200,hydraulic,HSK-A63,174,26,,
tungaloy,HSKA63HYDRO8X150,hydraulic,HSK-A63,124,28,,
tungaloy,HSKA63HYDRO10X150,hydraulic,HSK-A63,124,30,,
tungaloy,HSKA63HYDRO10X200,hydraulic,HSK-A63,174,30,,
tungaloy,HSKA63HYDRO12X150,hydraulic,HSK-A63,124,32,,
tungaloy,HSKA63HYDRO12X200,hydraulic,HSK-A63,174,32,,
tungaloy,HSKA63HYDRO14X150,hydraulic,HSK-A63,124,34,,
tungaloy,HSKA63HYDRO16X150,hydraulic,HSK-A63,124,38,,
tungaloy,HSKA63HYDRO16X200,hydraulic,HSK-A63,174,38,,
tungaloy,HSKA63HYDRO20X150,hydraulic,HSK-A63,124,42,,
tungaloy,HSKA63HYDRO20X200,hydraulic,HSK-A63,174,42,,
tungaloy,HSKA63HYDRO25X150,hydraulic,HSK-A63,124,50,,
tungaloy,HSKA63HYDRO25X200,hydraulic,HSK-A63,174,50,,
tungaloy,HSKA100HYDRO6X150,hydraulic,HSK-A100,124,26,,
tungaloy,HSKA100HYDRO6X200,hydraulic,HSK-A100,174,26,,
tungaloy,HSKA100HYDRO8X150,hydraulic,HSK-A100,124,28,,
tungaloy,HSKA100HYDRO8X200,hydraulic,HSK-A100,174,28,,
tungaloy,HSKA100HYDRO10X150,hydraulic,HSK-A100,124,30,,
tungaloy,HSKA100HYDRO10X200,hydraulic,HSK-A100,174,30,,
tungaloy,HSKA100HYDRO12X150,hydraulic,HSK-A100,124,32,,
tungaloy,HSKA100HYDRO12X200,hydraulic,HSK-A100,174,32,,
tungaloy,HSKA100HYDRO14X150,hydraulic,HSK-A100,124,34,,
tungaloy,HSKA100HYDRO14X200,hydraulic,HSK-A100,174,34,,
tungaloy,HSKA100HYDRO16X150,hydraulic,HSK-A100,124,38,,
tungaloy,HSKA100HYDRO16X200,hydraulic,HSK-A100,174,38,,
tungaloy,HSKA100HYDRO18X150,hydraulic,HSK-A100,124,40,,
tungaloy,HSKA100HYDRO18X200,hydraulic,HSK-A100,174,40,,
tungaloy,HSKA100HYDRO20X150,hydraulic,HSK-A100,124,42,,
tungaloy,HSKA100HYDRO20X200,hydraulic,HSK-A100,174,42,,
tungaloy,HSKA100HYDRO25X200,hydraulic,HSK-A100,174,50,,
tungaloy,HSKA63EM1X4.250,end_mill,HSK-A63,81.79,65.02,,
tungaloy,HSKA63EM1-1/4X4.250,end_mill,HSK-A63,81.79,71.37,,
tungaloy,HSKA63EM25X110,end_mill,HSK-A63,84,65,,
tungaloy,HSKA63EM32X110,end_mill,HSK-A63,84,72,,
tungaloy,HSKA63SRKIN1/4X3.150,shrink_fit,HSK-A63,54,21.01,,
tungaloy,HSKA63SRKIN1/4X6.30,shrink_fit,HSK-A63,134.01,21.01,,
tungaloy,HSKA63SRKIN5/16X3.150,shrink_fit,HSK-A63,56.31,21.01,,
tungaloy,HSKA63SRKIN3/8X3.346,shrink_fit,HSK-A63,58.93,23.88,,
tungaloy,HSKA63SRKIN3/8X6.30,shrink_fit,HSK-A63,134.01,23.88,,
tungaloy,HSKA63SRKIN7/16X3.543,shrink_fit,HSK-A63,63.98,23.88,,
tungaloy,HSKA63SRKIN1/2X3.543,shrink_fit,HSK-A63,63.98,23.88,,
tungaloy,HSKA63SRKIN5/8X3.740,shrink_fit,HSK-A63,68.99,26.92,,
tungaloy,HSKA63SRKIN5/8X6.30,shrink_fit,HSK-A63,134.01,26.92,,
tungaloy,HSKA63SRKIN3/4X3.937,shrink_fit,HSK-A63,73.99,33.02,,
tungaloy,HSKA63SRKIN3/4X6.30,shrink_fit,HSK-A63,134.01,33.02,,
tungaloy,HSKA63SRKIN7/8X3.937,shrink_fit,HSK-A63,73.99,43.94,,
tungaloy,HSKA63SRKIN1X4.528,shrink_fit,HSK-A63,89,43.94,,
tungaloy,HSKA63SRKIN1-1/4X4.72,shrink_fit,HSK-A63,93.98,43.94,,
tungaloy,HSKA100SRKIN1/4X3.500,shrink_fit,HSK-A100,59.89,21.01,,
tungaloy,HSKA100SRKIN1/4X6.250,shrink_fit,HSK-A100,129.74,21.01,,
tungaloy,HSKA100SRKIN5/16X3.500,shrink_fit,HSK-A100,59.89,21.01,,
tungaloy,HSKA100SRKIN5/16X4.750,shrink_fit,HSK-A100,91.64,21.01,,
tungaloy,HSKA100SRKIN5/16X6.250,shrink_fit,HSK-A100,129.74,21.01,,
tungaloy,HSKA100SRKIN3/8X3.625,shrink_fit,HSK-A100,63.07,23.88,,
tungaloy,HSKA100SRKIN3/8X6.250,shrink_fit,HSK-A100,129.74,23.88,,
tungaloy,HSKA100SRKIN7/16X3.750,shrink_fit,HSK-A100,66.24,23.88,,
tungaloy,HSKA100SRKIN7/16X6.250,shrink_fit,HSK-A100,129.74,23.88,,
tungaloy,HSKA100SRKIN1/2X3.750,shrink_fit,HSK-A100,66.24,23.88,,
tungaloy,HSKA100SRKIN1/2X5.000,shrink_fit,HSK-A100,97.99,23.88,,
tungaloy,HSKA100SRKIN5/8X4.000,shrink_fit,HSK-A100,72.59,26.92,,
tungaloy,HSKA100SRKIN5/8X5.000,shrink_fit,HSK-A100,97.99,26.92,,
tungaloy,HSKA100SRKIN3/4X4.125,shrink_fit,HSK-A100,78.79,33.02,,
tungaloy,HSKA100SRKIN3/4X6.250,shrink_fit,HSK-A100,129.74,33.02,,
tungaloy,HSKA100SRKIN7/8X4.125,shrink_fit,HSK-A100,75.77,43.94,,
tungaloy,HSKA100SRKIN1X4.500,shrink_fit,HSK-A100,85.29,43.94,,
tungaloy,HSKA63SRKIN6X80,shrink_fit,HSK-A63,54,21,,
tungaloy,HSKA63SRKIN6X120,shrink_fit,HSK-A63,94,21,,
tungaloy,HSKA63SRKIN6X160,shrink_fit,HSK-A63,134,21,,
tungaloy,HSKA63SRKIN8X80,shrink_fit,HSK-A63,54,21,,
tungaloy,HSKA63SRKIN8X120,shrink_fit,HSK-A63,94,21,,
tungaloy,HSKA63SRKIN8X160,shrink_fit,HSK-A63,134,21,,
tungaloy,HSKA63SRKIN10X85,shrink_fit,HSK-A63,59,24,,
tungaloy,HSKA63SRKIN10X120,shrink_fit,HSK-A63,94,24,,
tungaloy,HSKA63SRKIN10X160,shrink_fit,HSK-A63,134,24,,
tungaloy,HSKA63SRKIN12X90,shrink_fit,HSK-A63,64,24,,
tungaloy,HSKA63SRKIN12X120,shrink_fit,HSK-A63,94,24,,
tungaloy,HSKA63SRKIN12X160,shrink_fit,HSK-A63,134,24,,
tungaloy,HSKA63SRKIN14X90,shrink_fit,HSK-A63,64,27,,
tungaloy,HSKA63SRKIN14X120,shrink_fit,HSK-A63,94,27,,
tungaloy,HSKA63SRKIN14X160,shrink_fit,HSK-A63,134,27,,
tungaloy,HSKA63SRKIN16X75,shrink_fit,HSK-A63,49,27,,
tungaloy,HSKA63SRKIN16X95,shrink_fit,HSK-A63,69,27,,
tungaloy,HSKA63SRKIN16X120,shrink_fit,HSK-A63,94,27,,
tungaloy,HSKA63SRKIN16X160,shrink_fit,HSK-A63,134,27,,
tungaloy,HSKA63SRKIN18X95,shrink_fit,HSK-A63,69,33,,
tungaloy,HSKA63SRKIN18X120,shrink_fit,HSK-A63,94,33,,
tungaloy,HSKA63SRKIN18X160,shrink_fit,HSK-A63,134,33,,
tungaloy,HSKA63SRKIN20X75,shrink_fit,HSK-A63,49,33,,
tungaloy,HSKA63SRKIN20X100,shrink_fit,HSK-A63,74,33,,
tungaloy,HSKA63SRKIN20X120,shrink_fit,HSK-A63,94,33,,
tungaloy,HSKA63SRKIN20X160,shrink_fit,HSK-A63,134,33,,
tungaloy,HSKA63SRKIN25X85,shrink_fit,HSK-A63,59,44,,
tungaloy,HSKA63SRKIN25X115,shrink_fit,HSK-A63,89,44,,
tungaloy,HSKA63SRKIN32X85,shrink_fit,HSK-A63,59,44,,
tungaloy,HSKA63SRKIN32X120,shrink_fit,HSK-A63,94,44,,
tungaloy,HSKA100SRKIN6X85,shrink_fit,HSK-A100,56,21,,
tungaloy,HSKA100SRKIN6X120,shrink_fit,HSK-A100,91,21,,
tungaloy,HSKA100SRKIN6X160,shrink_fit,HSK-A100,131,21,,
tungaloy,HSKA100SRKIN8X85,shrink_fit,HSK-A100,56,21,,
tungaloy,HSKA100SRKIN8X120,shrink_fit,HSK-A100,91,21,,
tungaloy,HSKA100SRKIN8X160,shrink_fit,HSK-A100,131,21,,
tungaloy,HSKA100SRKIN10X90,shrink_fit,HSK-A100,61,24,,
tungaloy,HSKA100SRKIN10X120,shrink_fit,HSK-A100,91,24,,
tungaloy,HSKA100SRKIN10X160,shrink_fit,HSK-A100,131,24,,
tungaloy,HSKA100SRKIN12X95,shrink_fit,HSK-A100,66,24,,
tungaloy,HSKA100SRKIN12X120,shrink_fit,HSK-A100,91,24,,
tungaloy,HSKA100SRKIN12X160,shrink_fit,HSK-A100,131,24,,
tungaloy,HSKA100SRKIN14X95,shrink_fit,HSK-A100,66,27,,
tungaloy,HSKA100SRKIN14X120,shrink_fit,HSK-A100,91,27,,
tungaloy,HSKA100SRKIN14X160,shrink_fit,HSK-A100,131,27,,
tungaloy,HSKA100SRKIN16X100,shrink_fit,HSK-A100,71,27,,
tungaloy,HSKA100SRKIN16X120,shrink_fit,HSK-A100,91,27,,
tungaloy,HSKA100SRKIN16X160,shrink_fit,HSK-A100,131,27,,
tungaloy,HSKA100SRKIN18X100,shrink_fit,HSK-A100,71,33,,
tungaloy,HSKA100SRKIN18X160,shrink_fit,HSK-A100,131,33,,
tungaloy,HSKA100SRKIN20X105,shrink_fit,HSK-A100,76,33,,
tungaloy,HSKA100SRKIN20X160,shrink_fit,HSK-A100,131,33,,
tungaloy,HSKA100SRKIN25X115,shrink_fit,HSK-A100,86,44,,
tungaloy,HSKFM63SRKIN25X115,shrink_fit,HSK-FM63,89,44,,
tungaloy,HSKE32SRK1/8X2.000,shrink_fit,HSK-E32,50.8,10.01,,
tungaloy,HSKE32SRK3/16X2.000,shrink_fit,HSK-E32,50.8,10.01,,
tungaloy,HSKE32SRK1/4X2.000,shrink_fit,HSK-E32,50.8,11,,
tungaloy,HSKE32SRK5/16X2.000,shrink_fit,HSK-E32,50.8,14,,
tungaloy,HSKE32SRK3/8X2.000,shrink_fit,HSK-E32,50.8,16,,
tungaloy,HSKE32SRK1/2X2.000,shrink_fit,HSK-E32,50.8,19.99,,
tungaloy,HSKE40SRK1/8X1.750,shrink_fit,HSK-E40,44.45,9.91,,
tungaloy,HSKE40SRK1/8X3.000,shrink_fit,HSK-E40,76.2,9.91,,
tungaloy,HSKE40SRK3/16X1.750,shrink_fit,HSK-E40,44.45,9.91,,
tungaloy,HSKE40SRK3/16X3.000,shrink_fit,HSK-E40,76.2,9.91,,
tungaloy,HSKE40SRK1/4X1.750,shrink_fit,HSK-E40,44.45,10.92,,
tungaloy,HSKE40SRK1/4X3.000,shrink_fit,HSK-E40,76.2,10.92,,
tungaloy,HSKE40SRK5/16X1.750,shrink_fit,HSK-E40,44.45,13.97,,
tungaloy,HSKE40SRK5/16X3.000,shrink_fit,HSK-E40,76.2,13.97,,
tungaloy,HSKE40SRK3/8X1.750,shrink_fit,HSK-E40,44.45,16,,
tungaloy,HSKE40SRK3/8X3.000,shrink_fit,HSK-E40,76.2,16,,
tungaloy,HSKE40SRK7/16X1.750,shrink_fit,HSK-E40,44.45,20.07,,
tungaloy,HSKE40SRK7/16X3.000,shrink_fit,HSK-E40,76.2,20.07,,
tungaloy,HSKE40SRK1/2X1.750,shrink_fit,HSK-E40,44.45,20.07,,
tungaloy,HSKE40SRK1/2X3.000,shrink_fit,HSK-E40,76.2,20.07,,
tungaloy,HSKE50SRK1/8X1.750,shrink_fit,HSK-E50,44.45,9.91,,
tungaloy,HSKE50SRK1/8X3.000,shrink_fit,HSK-E50,76.2,9.91,,
tungaloy,HSKE50SRK3/16X1.750,shrink_fit,HSK-E50,44.45,9.91,,
tungaloy,HSKE50SRK3/16X3.000,shrink_fit,HSK-E50,76.2,9.91,,
tungaloy,HSKE50SRK1/4X1.750,shrink_fit,HSK-E50,44.45,10.92,,
tungaloy,HSKE50SRK1/4X3.000,shrink_fit,HSK-E50,76.2,10.92,,
tungaloy,HSKE50SRK5/16X1.750,shrink_fit,HSK-E50,44.45,13.97,,
tungaloy,HSKE50SRK5/16X3.000,shrink_fit,HSK-E50,76.2,13.97,,
tungaloy,HSKE50SRK3/8X1.750,shrink_fit,HSK-E50,44.45,16,,
tungaloy,HSKE50SRK3/8X3.000,shrink_fit,HSK-E50,76.2,16,,
tungaloy,HSKE50SRK7/16X1.750,shrink_fit,HSK-E50,44.45,20.07,,
tungaloy,HSKE50SRK1/2X1.750,shrink_fit,HSK-E50,44.45,20.07,,
tungaloy,HSKE50SRK1/2X3.000,shrink_fit,HSK-E50,76.2,20.07,,
tungaloy,HSKE63SRK1/8X2.000,shrink_fit,HSK-E63,50.8,9.91,,
tungaloy,HSKE63SRK3/16X2.000,shrink_fit,HSK-E63,50.8,9.91,,
tungaloy,HSKE63SRK3/16X3.000,shrink_fit,HSK-E63,76.2,9.91,,
tungaloy,HSKE63SRK1/4X2.000,shrink_fit,HSK-E63,50.8,10.92,,
tungaloy,HSKE63SRK1/4X3.000,shrink_fit,HSK-E63,76.2,10.92,,
tungaloy,HSKE63SRK5/16X2.000,shrink_fit,HSK-E63,50.8,13.97,,
tungaloy,HSKE63SRK5/16X3.000,shrink_fit,HSK-E63,76.2,13.97,,
tungaloy,HSKE63SRK3/8X2.000,shrink_fit,HSK-E63,50.8,16,,
tungaloy,HSKE63SRK3/8X3.000,shrink_fit,HSK-E63,76.2,16,,
tungaloy,HSKE63SRK7/16X2.000,shrink_fit,HSK-E63,50.8,20.07,,
tungaloy,HSKE63SRK7/16X3.000,shrink_fit,HSK-E63,76.2,20.07,,
tungaloy,HSKE63SRK1/2X2.000,shrink_fit,HSK-E63,50.8,20.07,,
tungaloy,HSKE32SRK3X45,shrink_fit,HSK-E32,45,10,,
tungaloy,HSKE32SRK4X45,shrink_fit,HSK-E32,45,10,,
tungaloy,HSKE32SRK5X45,shrink_fit,HSK-E32,45,10,,
tungaloy,HSKE32SRK6X45,shrink_fit,HSK-E32,45,11,,
tungaloy,HSKE32SRK10X45,shrink_fit,HSK-E32,45,16,,
tungaloy,HSKE32SRK12X45,shrink_fit,HSK-E32,45,20,,
tungaloy,HSKE40SRK3X45,shrink_fit,HSK-E40,45,10,,
tungaloy,HSKE40SRK3X80,shrink_fit,HSK-E40,80,10,,
tungaloy,HSKE40SRK4X45,shrink_fit,HSK-E40,45,10,,
tungaloy,HSKE40SRK4X80,shrink_fit,HSK-E40,80,10,,
tungaloy,HSKE40SRK5X45,shrink_fit,HSK-E40,45,10,,
tungaloy,HSKE40SRK5X80,shrink_fit,HSK-E40,80,10,,
tungaloy,HSKE40SRK6X45,shrink_fit,HSK-E40,45,11,,
tungaloy,HSKE40SRK6X80,shrink_fit,HSK-E40,80,11,,
tungaloy,HSKE40SRK8X45,shrink_fit,HSK-E40,45,14,,
tungaloy,HSKE40SRK8X80,shrink_fit,HSK-E40,80,14,,
tungaloy,HSKE40SRK10X45,shrink_fit,HSK-E40,45,16,,
tungaloy,HSKE40SRK10X80,shrink_fit,HSK-E40,80,16,,
tungaloy,HSKE40SRK12X45,shrink_fit,HSK-E40,45,20,,
tungaloy,HSKE40SRK12X80,shrink_fit,HSK-E40,80,20,,
tungaloy,HSKE50SRK3X45,shrink_fit,HSK-E50,45,10,,
tungaloy,HSKE50SRK3X80,shrink_fit,HSK-E50,80,10,,
tungaloy,HSKE50SRK4X45,shrink_fit,HSK-E50,45,10,,
tungaloy,HSKE50SRK4X80,shrink_fit,HSK-E50,80,10,,
tungaloy,HSKE50SRK6X45,shrink_fit,HSK-E50,45,11,,
tungaloy,HSKE50SRK6X80,shrink_fit,HSK-E50,80,11,,
tungaloy,HSKE50SRK8X45,shrink_fit,HSK-E50,45,14,,
tungaloy,HSKE50SRK8X80,shrink_fit,HSK-E50,80,14,,
tungaloy,HSKE50SRK10X45,shrink_fit,HSK-E50,45,16,,
tungaloy,HSKE50SRK10X80,shrink_fit,HSK-E50,80,16,,
tungaloy,HSKE50SRK12X45,shrink_fit,HSK-E50,45,20,,
tungaloy,HSKA63SRK1/8X2.000,shrink_fit,HSK-A63,50.8,9.91,,
tungaloy,HSKA63SRK1/8X3.250,shrink_fit,HSK-A63,82.55,9.91,,
tungaloy,HSKA63SRK3/16X2.000,shrink_fit,HSK-A63,50.8,9.91,,
tungaloy,HSKA63SRK3/16X3.250,shrink_fit,HSK-A63,82.55,9.91,,
tungaloy,HSKA63SRK1/4X2.000,shrink_fit,HSK-A63,50.8,10.92,,
tungaloy,HSKA63SRK1/4X3.250,shrink_fit,HSK-A63,82.55,10.92,,
tungaloy,HSKA63SRK5/16X3.250,shrink_fit,HSK-A63,82.55,13.97,,
tungaloy,HSKA63SRK3/8X2.000,shrink_fit,HSK-A63,50.8,16,,
tungaloy,HSKA63SRK3/8X3.250,shrink_fit,HSK-A63,82.55,16,,
tungaloy,HSKA63SRK7/16X2.000,shrink_fit,HSK-A63,50.8,20.07,,
tungaloy,HSKA63SRK7/16X3.250,shrink_fit,HSK-A63,82.55,20.07,,
tungaloy,HSKA63SRK1/2X2.000,shrink_fit,HSK-A63,50.8,20.07,,
tungaloy,HSKA63SRK1/2X3.250,shrink_fit,HSK-A63,82.55,20.07,,
tungaloy,HSKA63SRK3X50,shrink_fit,HSK-A63,50,10,,
tungaloy,HSKA63SRK3X85,shrink_fit,HSK-A63,85,10,,
tungaloy,HSKA63SRK4X50,shrink_fit,HSK-A63,50,10,,
tungaloy,HSKA63SRK4X85,shrink_fit,HSK-A63,85,10,,
tungaloy,HSKA63SRK5X50,shrink_fit,HSK-A63,50,10,,
tungaloy,HSKA63SRK5X85,shrink_fit,HSK-A63,85,10,,
tungaloy,HSKA63SRK6X50,shrink_fit,HSK-A63,50,11,,
tungaloy,HSKA63SRK6X85,shrink_fit,HSK-A63,85,11,,
tungaloy,HSKA63SRK8X50,shrink_fit,HSK-A63,50,14,,
