"index","hwnd","class","text","visible"
"59","1640428","WindowsForms10.COMBOBOX.app.0.1a0e24_r7_ad1","","False"
"60","1245410","WindowsForms10.COMBOBOX.app.0.1a0e24_r7_ad1","","False"
"61","1968234","Edit","","False"
"62","2492510","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"63","1441816","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"64","1312790","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Tap Dia","False"
"65","656782","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Tip Dia","True"
"66","1902014","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Tool Dia","False"
"67","788440","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Turn Dia","False"
"68","722838","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","True"
"69","657286","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","in","True"
"70","329732","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","False"
"71","1509108","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","False"
"72","1573570","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","in","False"
"73","5047526","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Tip Dia","False"
"74","1443562","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"75","788414","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"76","657352","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","N# of Starts","False"
"77","853314","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","N# of Flutes","True"
"78","198866","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","N# of Inserts","False"
"79","1574784","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"80","461056","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"81","591890","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","1","True"
"82","264428","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","False"
"83","1312356","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","False"
"84","1966278","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Pitch","False"
"85","526350","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","in","False"
"86","460944","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"87","330020","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Tool Stick-out","True"
"88","198852","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","True"
"89","591864","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","in","True"
"90","526444","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"91","395464","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Corner Rad","True"
"92","198940","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","True"
"93","461004","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","in","True"
"94","1050566","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"95","198932","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","Ball Nose","True"
"96","657348","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"97","460754","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"98","198906","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Insert Length","False"
"99","1640250","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Flute Length","True"
"100","1443522","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","True"
"101","1048858","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","in","True"
"102","657680","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"103","264536","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Lead Angle","True"
"104","198942","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","True"
"105","329912","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"106","198894","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"107","264380","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"108","264372","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Shank Dia","True"
"109","395544","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Holder Size","False"
"110","919600","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","True"
"111","1050796","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","in","True"
"112","133458","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"113","133460","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Helix Angle","True"
"114","133462","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","True"
"115","329902","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"116","1181704","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","True"
"117","133314","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Shoulder Len.","True"
"118","198922","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","in","True"
"119","264454","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"120","198920","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","Tapered Shoulder","True"
"121","133450","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"122","133454","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","True"
"123","133456","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Shoulder Dia.","True"
"124","264362","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","in","True"
"125","853972","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"126","264254","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","Reset","True"
"127","133418","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Tool Type","True"
"128","133420","WindowsForms10.COMBOBOX.app.0.1a0e24_r7_ad1","","True"
"129","657378","WindowsForms10.COMBOBOX.app.0.1a0e24_r7_ad1","","True"
"130","264328","WindowsForms10.COMBOBOX.app.0.1a0e24_r7_ad1","","True"
"131","9438916","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"132","723064","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","Load Tool/Cut","True"
"133","5768992","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Unsaved Tool","True"
"134","394118","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","Edit Tool Info","False"
"135","329022","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","Add Tool","True"
"136","853952","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","","True"
"137","984848","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","Edit New","False"
"138","262822","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"139","984996","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"140","263374","WindowsForms10.COMBOBOX.app.0.1a0e24_r7_ad1","","False"
"141","262978","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Parameters","True"
"142","394036","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","","False"
"143","263554","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","Add Cut","False"
"144","2099004","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","Edit Cut Info","False"
"145","329800","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"146","264520","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"147","394640","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"148","5900436","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Cutting Parameters","True"
"149","68146","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"150","68148","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"151","68150","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"152","68152","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"153","68154","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","DOC","True"
"154","68156","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","0.3000","True"
"155","68158","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","in","True"
"156","68160","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"157","68162","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"158","68164","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","WOC","True"
"159","68166","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","in","True"
"160","68168","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","0.0562","True"
"161","68170","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"162","68172","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","Slot/Pocket","True"
"163","68174","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"164","68176","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"165","68178","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","15.0","True"
"166","68180","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","%","True"
"167","68182","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"168","68184","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Deg","True"
"169","68186","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","45.6","True"
"170","657360","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"171","1115652","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"172","196894","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Compensation","True"
"173","525516","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"174","327914","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","Circle/Ramp","True"
"175","196810","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","HSM","True"
"176","327964","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","Chip Thinning","True"
"177","721240","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","Scallop","True"
"178","524566","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","False"
"179","327948","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","False"
"180","196674","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Thread Parameters","False"
"181","197374","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","False"
"182","133436","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","False"
"183","197376","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Thread Type","False"
"184","197372","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","in","False"
"185","328388","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","Internal(Hole)","False"
"186","198048","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","False"
"187","459738","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Major Dia","False"
"188","919320","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","External(Boss)","False"
"189","196706","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","False"
"190","196668","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","False"
"191","919432","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Drilling Parameters","False"
"192","327970","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","False"
"193","1247096","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","False"
"194","262440","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","in","False"
"195","328454","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","False"
"196","1050474","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","in","False"
"197","262208","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Pilot Dia","False"
"198","263480","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","False"
"199","657022","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Depth","False"
"200","656344","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","False"
"201","198692","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Tip Dia","False"
"202","853912","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","in","False"
"203","722828","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","False"
"204","393892","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Peck","False"
"205","525270","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","False"
"206","1050866","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","in","False"
"207","592054","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","False"
"208","1967918","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Countersink Dia","False"
"209","2033102","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Effective Dia","False"
"210","985254","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","False"
"211","7211084","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","False"
"212","3737384","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Tapping Data","False"
"213","395462","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","False"
"214","919768","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","False"
"215","67930","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Thread Percentage","False"
"216","67932","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","False"
"217","67934","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","in","False"
"218","67936","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","%","False"
"219","67938","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","False"
"220","67940","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Drill Size","False"
"221","1181276","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","False"
"222","67942","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","False"
"223","67944","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"224","67946","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"225","67948","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"226","67950","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Speed and Feed Adjustments","True"
"227","67952","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"228","67954","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","True"
"229","67956","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"230","67958","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"231","67960","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"232","67962","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"233","67964","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"234","67966","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","","True"
"235","67968","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","S","True"
"236","67970","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","True"
"237","67972","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"238","67974","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"239","67976","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"240","67978","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"241","67980","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"242","67982","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","","True"
"243","67984","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"244","67986","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"245","67988","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"246","67990","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"247","67992","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"248","67994","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","x1","True"
"249","67996","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","F","True"
"250","591998","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"251","459534","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"252","67998","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"253","68000","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"254","68002","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"255","68004","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Gauges","True"
"256","68006","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"257","68008","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"258","68010","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"259","68012","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"260","68014","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"261","68016","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Cutting Force: 136.4 lb /8 %","True"
"262","68018","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"263","1771588","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"264","68020","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"265","68022","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"266","68024","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Tool Life: 101 %","True"
"267","68026","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"268","68028","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"269","68030","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"270","68032","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"271","68034","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Spindle Load: 2.4HP / 10 %","True"
"272","68036","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"273","68038","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"274","68040","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"275","68042","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"276","68044","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","MRR: 2.6 in³ ","True"
"277","68046","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"278","68048","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"279","68050","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Tool Limits","True"
"280","68052","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"281","68054","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"282","1902556","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"283","68056","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"284","68058","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"285","68060","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"286","657452","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Tool Torque: 42 %","True"
"287","68062","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"288","262214","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"289","68064","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"290","68066","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"291","68068","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"292","68070","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Deflection:0.00086 in /27.0%","True"
"293","68072","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"294","68074","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"295","68076","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"296","68078","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","","True"
"297","2557762","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Speeds and Feeds","True"
"298","68080","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"299","68082","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","in/min","True"
"300","68084","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","True"
"301","5244418","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","in","True"
"302","68086","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","True"
"303","68088","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Chip Load","True"
"304","68090","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","f/min","True"
"305","68092","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","True"
"306","68094","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","RPM","True"
"307","68096","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","True"
"308","68098","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Feed","True"
"309","68100","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Speed","True"
"310","68102","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","True"
"311","68104","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","in/min","True"
"312","68106","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Plunge RPM","True"
"313","68108","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","True"
"314","68110","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Plunge Feed","True"
"315","68112","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"316","68114","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"317","68116","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"318","1968348","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","","True"
"319","3213274","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Manufacturer Speeds and Feeds","True"
"320","3475490","WindowsForms10.Window.8.app.0.1a0e24_r7_ad1","","True"
"321","68118","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Tool Max RPM","True"
"322","68120","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","True"
"323","68122","WindowsForms10.BUTTON.app.0.1a0e24_r7_ad1","","True"
"324","68124","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Speed","True"
"325","68126","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","True"
"326","68128","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","f/min","True"
"327","68130","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","Chipload","True"
"328","68132","WindowsForms10.EDIT.app.0.1a0e24_r7_ad1","","True"
"329","68134","WindowsForms10.STATIC.app.0.1a0e24_r7_ad1","in","True"
